# t x y z qx qy qz qw
3.059997 0.690114 0.300312 0.331554 -0.558387 0.523614 -0.400356 0.503734
3.069997 0.690270 0.299815 0.331932 -0.558087 0.523817 -0.400101 0.504058
3.079997 0.690396 0.299384 0.332281 -0.557847 0.523960 -0.399877 0.504351
3.089997 0.690540 0.298882 0.332630 -0.557601 0.524116 -0.399647 0.504644
3.099997 0.690705 0.298335 0.332949 -0.557295 0.524369 -0.399466 0.504863
3.109997 0.690880 0.297638 0.333241 -0.556784 0.525023 -0.399149 0.504998
3.119997 0.690981 0.296952 0.333455 -0.556198 0.525997 -0.398601 0.505063
3.129997 0.691071 0.296152 0.333583 -0.555601 0.527172 -0.397895 0.505051
3.139997 0.691141 0.295348 0.333675 -0.555185 0.528211 -0.397146 0.505012
3.149997 0.691177 0.294539 0.333756 -0.554918 0.529153 -0.396313 0.504975
3.159997 0.691232 0.293626 0.333847 -0.554702 0.530045 -0.395468 0.504939
3.169997 0.691291 0.292780 0.333993 -0.554535 0.530713 -0.394841 0.504911
3.179997 0.691361 0.291865 0.334182 -0.554364 0.531355 -0.394251 0.504885
3.189997 0.691456 0.290819 0.334405 -0.554223 0.531959 -0.393719 0.504819
3.199997 0.691555 0.289812 0.334638 -0.554185 0.532363 -0.393333 0.504736
3.209997 0.691656 0.288777 0.334913 -0.554237 0.532633 -0.393025 0.504633
3.219997 0.691751 0.287656 0.335247 -0.554371 0.532794 -0.392886 0.504424
3.229997 0.691816 0.286706 0.335546 -0.554464 0.532951 -0.392821 0.504207
3.239997 0.691888 0.285691 0.335982 -0.554537 0.533018 -0.392867 0.504020
3.249997 0.691982 0.284788 0.336429 -0.554552 0.532964 -0.393147 0.503841
3.259997 0.692096 0.283926 0.337002 -0.554553 0.532718 -0.393656 0.503704
3.269997 0.692220 0.283144 0.337632 -0.554541 0.532365 -0.394204 0.503661
3.279997 0.692355 0.282372 0.338273 -0.554493 0.532029 -0.394732 0.503657
3.289997 0.692486 0.281594 0.338866 -0.554424 0.531759 -0.395221 0.503634
3.299997 0.692620 0.280695 0.339577 -0.554330 0.531465 -0.395748 0.503633
